condition,n_tf,n_runs,mean_r,median_r,max_r,min_rmse
self_off,1,7,0.4312237555987527,0.6139948278779496,0.6711772898084433,0.3288100137282523
self_off,2,21,0.5311850376575664,0.6238514448280974,0.8273445142049193,0.24882280290179984
self_off,3,35,0.67202445353651,0.7123862796392336,0.8468479511705933,0.23387685444240824
self_off,4,35,0.7365692900945255,0.7709550160291931,0.8550209176849759,0.2260550680132627
self_off,5,21,0.7902236928694266,0.8325695746649705,0.8675713623215651,0.21443412400994136
self_off,6,7,0.8254652009007766,0.8502885827780247,0.8679762914310246,0.2130138999078524
self_off,7,1,0.869991941141378,0.869991941141378,0.869991941141378,0.21274419357278718
self_on,1,7,0.4640219819134839,0.6259626877898966,0.6942279037295263,0.31859340054762764
self_on,2,21,0.6339742377748795,0.6901915269073708,0.8197557467258216,0.26636627595672685
self_on,3,35,0.4166453378321823,0.7547822311632395,0.838395201352313,0.24397549807450372
self_on,4,35,0.2138669356564139,0.25195200061407685,0.5788926329214683,0.48894901774014227
self_on,5,21,0.008192252462729855,-0.1009848840677711,0.560342884876629,0.48893788914492137
self_on,6,7,-0.01540756874494366,-0.10561432004717583,0.3830877840648543,0.48894900973075045
self_on,7,1,-0.08838625663975073,-0.08838625663975073,-0.08838625663975073,0.4889516076683635
